AsxCode,Order Type,Trade Date,Price,Quantity,Brokerage
SYI,Buy,8/06/2022,31.128694,7,2
IXJ,Buy,8/06/2022,115.43,2,2
NDQ,Buy,23/08/2022,29.097406,8,2
IOO,Buy,23/08/2022,201.41,2,2
NDQ,Buy,28/07/2023,35.025612,28,2
IOO,Buy,28/07/2023,114.219388,8,2
NDQ,Buy,26/06/2024,45.058084,5,2
IOO,Buy,10/07/2024,146.65,1,2
DHHF,Buy,23/08/2024,33.984651,7,2
IXJ,Buy,17/10/2024,144.21,1,2
IOO,Buy,2/01/2025,162.525438,1,2
IOO,Buy,22/01/2025,162.788987,2,2
IEM,Buy,19/02/2025,70.76,7,2
IEM,Buy,20/03/2025,71.36,6,2
IOO,Sell,30/12/2025,187.54,14,11
NDQ,Sell,19/02/2026,51.91,39,11
